# Created by Octave 3.4.3, Tue Jun 19 08:17:46 2012 PDT <reid@localhost>
# name: X
# type: matrix
# rows: 307
# columns: 2
 13.04681516870484 14.7411524132184
 13.4085201853932 13.76326960024047
 14.19591481245491 15.85318112982812
 14.91470076531303 16.17425986715807
 13.5766996051752 14.04284943755652
 13.92240250750028 13.40646893666083
 12.82213163903098 14.22318782380161
 15.6763661470048 15.89169137219994
 16.16287532482238 16.20299807446642
 12.66645094909174 14.8990837351338
 13.98454962300191 12.95800821585463
 14.06146043109355 14.54908874282629
 13.38988671215899 15.56202141787754
 13.39350474623341 15.62698794188875
 13.97900926099814 13.28061494266342
 14.16791258723419 14.46583828507579
 13.96176145283657 14.75182421254904
 14.45899735355037 15.07018562997125
 14.58476371878708 15.82743423785702
 12.07427073619131 13.06711089796514
 13.54912940444922 15.53827676982062
 13.98625041879221 14.78776303583677
 14.96991942049244 16.51830493015889
 14.2557659665841 15.29427277420701
 15.33425000108006 16.12469988952639
 15.63504869777692 16.49094476663806
 13.62081291712303 15.45947525058772
 14.81548484709227 15.33956526603583
 14.59318972857327 14.61238105671215
 14.48906754712418 15.64087368177291
 15.52704801171451 14.63568031226173
 13.97506707358789 14.76531532927648
 12.95364954381841 14.82328512087584
 12.88787444214799 15.07607810133002
 16.02178960565569 16.25746991816081
 14.9262927071427 16.29725072434191
 12.46559400363085 14.18321211753596
 14.08466278107714 14.44192203204038
 14.53717522545769 14.24224248113181
 14.22250851601845 15.42386187610343
 14.51908495978717 13.99871698993444
 13.11971433616167 14.66081845898369
 14.5108889424642 15.30465148682366
 14.18262426407451 15.3938896849634
 14.71651844926282 15.73369667477785
 13.83454699853918 16.17138034441191
 16.00076179182642 14.69232970320203
 14.12702715242892 15.91462774747984
 13.84578546855034 14.34139348861173
 15.41426110064101 16.24243182463628
 13.25273726696165 15.00861363933526
 13.66840226015763 14.35886035673854
 13.77534773921765 14.73808512203812
 14.12582342640922 14.92980922624493
 14.54724604324321 15.6333944514067
 14.15258077112493 14.53622696521789
 14.12648161131633 15.34467591276852
 14.26324658304056 14.98556918087115
 14.77324331862399 15.25299473774317
 14.20969933686442 16.14572569071713
 13.260655152992 15.48016214411599
 14.25273350867239 15.03134360663839
 12.92124446791387 13.19321540142361
 13.852431292546 13.33213110580615
 13.96856800302965 13.19821236714215
 13.25206981975186 15.36846390294601
 13.70449633962696 13.21431301976872
 14.5087472134072 15.46051652161006
 15.69042695638351 16.48168851978138
 12.95598191982515 12.43703005897334
 13.59312604041728 14.84189902611636
 15.12874638631439 17.14981222613881
 14.26705036670259 15.67551973639503
 15.6614505451442 14.81146451457414
 14.33962672797097 15.49202297710026
 14.2761765458781 14.70590693250814
 14.86049072335336 15.59000779027686
 14.10414479623351 15.1805045637764
 15.98828286381979 15.62105187028486
 13.47473582792461 15.59307141917535
 13.77637601475249 14.99194426684731
 12.82770875129005 15.67136906874635
 13.67165486007913 15.11954159126301
 15.38704283906103 15.56936935237784
 15.54320933642332 15.51543150058866
 13.85306094119846 15.60672436869602
 13.62525245784644 14.45209462876985
 15.0157784412311 14.91664093008973
 13.83645753449745 15.24940725360926
 14.22694438547307 14.3479843622948
 13.23742625416296 14.61058751286003
 13.38482919115422 14.7331933025011
 13.87130103241151 14.97399468636979
 12.39445846815594 14.64448216946588
 14.32186557845068 14.52890629439163
 15.82965092460402 15.71619455432355
 15.80177302202355 16.01808914480403
 14.69751200330076 14.11198748714029
